Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE153547,"An integrated analysis of lncRNAs and mRNAs expression profiles in the kidney of mice with lupus nephritis","Expression profiling by high throughput sequencing","Mus musculus",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153547/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA643217",33628632,SRP269363,"Dong Chen","Dec 30, 2020"
GSE66063,"An integrated analysis of phosphorus starvation responses in the diatom Pheaodactylum tricornutum","Expression profiling by array","Phaeodactylum tricornutum",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66063/suppl",29474408,,"Per Winge","Jan 31, 2018"
GSE116275,"An integrated analysis of small RNAs, degradome and transcriptome in rice seedling exposure to cadmium stress","Non-coding RNA profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Oryza sativa",14,,,,,,"Min Zhong","Jun 24, 2021"
GSE116774,"An integrated analysis of small RNAs, degradome and transcriptome in rice seedling exposure to cadmium stress [degradome]","Expression profiling by high throughput sequencing","Oryza sativa",2,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116774/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA480216",,SRP152809,"Min Zhong","Jun 24, 2021"
GSE115843,"An integrated analysis of small RNAs, degradome and transcriptome in rice seedling exposure to cadmium stress [miRNA-seq]","Non-coding RNA profiling by high throughput sequencing","Oryza sativa",6,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115843/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA476254",,SRP150608,"Min Zhong","Jun 24, 2021"
GSE116214,"An integrated analysis of small RNAs, degradome and transcriptome in rice seedling exposure to cadmium stress [transcriptome]","Expression profiling by high throughput sequencing","Oryza sativa",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116214/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA477783",,SRP151253,"Min Zhong","Jun 24, 2021"
GSE72996,"An integrated approach combining RNA-seq, Ribo-seq and Proteomics identifies the coding potential of Mycobacterium abscessus","Expression profiling by high throughput sequencing","Mycobacteroides abscessus ATCC 19977",6,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72996/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA295556",27495169,SRP063670,"Brendan Loftus","Mar 30, 2016"
GSE179347,"An integrated approach to identify environmental modulators of genetic risk factors for complex traits","Expression profiling by high throughput sequencing","Homo sapiens",238,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179347/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA743319",34582792;35292083,SRP326678,"Brunilda Balliu","Jul 09, 2021"
GSE54374,"An integrated cell purification and genomics strategy reveals multiple regulators of pancreas development.","Expression profiling by array","Mus musculus",48,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54374/suppl",25330008,,"Seung Kim","Oct 16, 2014"
GSE100226,"An integrated computational-experimental approach reveals Yersinia pestis genes essential across a narrow or a broad range of environmental conditions","Other","Yersinia pestis",7,,"RD;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100226/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391106",28732479,SRP109777,"ZhengRong Yang","Jul 06, 2017"
GSE171499,"An integrated epigenome and transcriptome analysis to clarify the effect of epigenetic inhibitors in gastrointestinal stromal cells","Expression profiling by array;Methylation profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171499/suppl",34083271,,"Hiromu Suzuki","Jun 21, 2021"
GSE171498,"An integrated epigenome and transcriptome analysis to clarify the effect of epigenetic inhibitors in gastrointestinal stromal cells (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171498/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA719812",34083271,SRP313534,"Hiromu Suzuki","Jun 21, 2021"
GSE171495,"An integrated epigenome and transcriptome analysis to clarify the effect of epigenetic inhibitors in gastrointestinal stromal cells (Expression)","Expression profiling by array","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171495/suppl",34083271,,"Hiromu Suzuki","Jun 21, 2021"
GSE171496,"An integrated epigenome and transcriptome analysis to clarify the effect of epigenetic inhibitors in gastrointestinal stromal cells (Methylation)","Methylation profiling by array","Homo sapiens",1,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171496/suppl",34083271,,"Hiromu Suzuki","Jun 21, 2021"
GSE98695,"An integrated expression atlas of miRNAs and their promoters in human and mouse","Other","Homo sapiens",21,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98695/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA385925",28829439,SRP106686,"Michael Rehli","Aug 16, 2017"
GSE108287,"An integrated flow cytometry-based platform for isolation and molecular characterization of circulating tumor single cells and clusters","Expression profiling by high throughput sequencing","Mus musculus",43,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108287/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA423033",29568081,SRP127053,"Erica Carpenter","Apr 03, 2018"
GSE178330,"An integrated functional and clinical genomics approach reveal genes driving aggressive metastatic prostate cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178330/suppl",34326322,,"Raunak Shrestha","Jun 17, 2021"
GSE178329,"An integrated functional and clinical genomics approach reveal genes driving aggressive metastatic prostate cancer [ATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178329/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA738507",34326322,SRP324436,"Raunak Shrestha","Jun 17, 2021"
GSE178300,"An integrated functional and clinical genomics approach reveal genes driving aggressive metastatic prostate cancer [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178300/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA738452",34326322,SRP324259,"Raunak Shrestha","Jun 17, 2021"
GSE80417,"An integrated genetic-epigenetic analysis of schizophrenia: Evidence for co-localization of genetic associations and differential DNA methylation","Methylation profiling by genome tiling array","Homo sapiens",675,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80417/suppl",27572077;33646943,,"Jonathan Mill","Aug 01, 2016"
GSE84727,"An integrated genetic-epigenetic analysis of schizophrenia: Evidence for co-localization of genetic associations and differential DNA methylation.","Methylation profiling by genome tiling array","Homo sapiens",847,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84727/suppl",27572077;33646943,,"Jonathan Mill","Aug 01, 2016"
GSE35424,"An integrated genomic and expression analysis of 7q deletion in SMZL (Illumina Infinium Human Methylation 27 array)","Methylation profiling by array","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35424/suppl",23028731,,"Alan J Watkins","Aug 30, 2012"
GSE35425,"An integrated genomic and expression analysis of 7q deletion in SMZL (Oligo aCGH)","Genome variation profiling by genome tiling array","Homo sapiens",21,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35425/suppl",23028731,,"Alan J Watkins","Aug 30, 2012"
GSE35426,"An integrated genomic and expression analysis of 7q deletion in splenic marginal zone lymphoma (Affymetrix HG-U133plus2 gene expression microarray)","Expression profiling by array","Homo sapiens",24,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35426/suppl",23028731,,"Alan J Watkins","Aug 30, 2012"
GSE21554,"An integrated genomic and expression analysis of 7q deletion in splenic marginal zone lymphoma (Main Study)","Genome variation profiling by genome tiling array;Expression profiling by array;Methylation profiling by array","Homo sapiens",69,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21554/suppl",23028731,,"Alan J Watkins","Aug 30, 2012"
GSE85056,"An integrated genomic approach for the study of mandibular prognathism in the European seabass","Expression profiling by array","Dicentrarchus labrax",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85056/suppl",27929136,,"Serena Ferraresso","Feb 12, 2017"
GSE85052,"An integrated genomic approach for the study of mandibular prognathism in the European seabass (Dicentrarchus labrax) I","Expression profiling by array","Dicentrarchus labrax",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85052/suppl",27929136,,"Serena Ferraresso","Feb 12, 2017"
GSE85054,"An integrated genomic approach for the study of mandibular prognathism in the European seabass (Dicentrarchus labrax) II","Expression profiling by array","Dicentrarchus labrax",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85054/suppl",27929136,,"Serena Ferraresso","Feb 12, 2017"
GSE27673,"An integrated genomics approach for novel biomarker discovery in squamous cell cervical carcinoma","Genome variation profiling by array","Homo sapiens",37,,"GPR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27673/suppl",17516585,,"Ian Roberts","Mar 05, 2011"
GSE144753,"An integrated genomics approach towards deciphering human genome codes shaping HIV proviral transcription and fate","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144753/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA604783",35250265,SRP247171,"Ivan D'Orso","May 05, 2021"
GSE100689,"An integrated global regulatory network of hematopoietic precursor cell self-renewal and differentiation","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",6,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100689/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA392673",29892750,SRP110817,"Raquel Cuevas Diaz Duran","Jun 04, 2018"
GSE23798,"An integrated model of stress-dependent gene expression in yeast","Expression profiling by genome tiling array","Saccharomyces cerevisiae",18,,"FTR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23798/suppl",21772262,,"Audrey P. Gasch","Aug 18, 2011"
GSE124897,"An integrated molecular diagnostic report for heart transplant biopsies using an ensemble of diagnostic algorithms","Expression profiling by array","Homo sapiens",889,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124897/suppl",30795962,,"Jessica Chang","Aug 16, 2019"
GSE153875,"An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",234,,"BED;BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153875/suppl",32989324,,"Yemin Lan","Jul 07, 2020"
GSE159671,"An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease (5hmC) [5hmC-Seal]","Methylation profiling by high throughput sequencing","Homo sapiens",28,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159671/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA670168",32989324,SRP287805,"Yemin Lan","Oct 21, 2020"
GSE130746,"An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease (H3K9ac, H3K27ac, H3K122ac, H3K4me1) [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",146,,"BED;BW;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130746/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA541273",32989324,SRP195558,"Yemin Lan","Jan 01, 2020"
