Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE162829,"The PAF1 complex promotes 3‘ processing of pervasive transcripts [RNA-seq]","Expression profiling by high throughput sequencing","Mus musculus",18,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162829/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA683216",35294889,SRP297013,"wei zi guo","Mar 15, 2022"
GSE35944,"The PARN deadenylase targets a discrete set of mRNAs for decay and regulates cell motility in mouse myoblasts","Expression profiling by array","Mus musculus",30,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35944/suppl",22956911,,"Ju Youn Lee","Aug 31, 2012"
GSE174775,"The PAX5-JAK2 translocation acts as a dual-hit mutation that promotes aggressive B-cell leukemia via nuclear STAT5 activation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",46,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174775/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA731504",35156727,SRP320709,"Meinrad Busslinger","Feb 04, 2022"
GSE84102,"The PAXX and XLF DNA Repair Factors are Functionally Redundant in Joining DNA breaks in a G1-arrested Progenitor B Cell Line","Other","Mus musculus",27,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84102/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA328026",27601633,SRP077999,"Richard L Frock","Aug 19, 2016"
GSE149425,"The PD-1 pathway regulates development and function of memory CD8+ T cells following respiratory viral infection","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149425/suppl",32610128,,"Kristen Elaine Pauken","Jun 30, 2020"
GSE52920,"The PDZ-binding motif of SARS-CoV envelope protein is a determinant of viral pathogenesis","Expression profiling by array","Mus musculus",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52920/suppl",25122212,,"Juan Carlos Oliveros","Oct 31, 2014"
GSE116068,"The PEAT protein complexes are required for histone deacetylation and heterochromatin silencing","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Arabidopsis thaliana",27,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116068/suppl",30104406,,"xinjian He","Jun 21, 2018"
GSE116064,"The PEAT protein complexes are required for histone deacetylation and heterochromatin silencing [BS-Seq]","Methylation profiling by high throughput sequencing","Arabidopsis thaliana",3,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116064/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA476940",30104406,SRP150993,"xinjian He","Jun 21, 2018"
GSE116065,"The PEAT protein complexes are required for histone deacetylation and heterochromatin silencing [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Arabidopsis thaliana",3,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116065/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA476941",30104406,SRP150994,"xinjian He","Jun 21, 2018"
GSE116066,"The PEAT protein complexes are required for histone deacetylation and heterochromatin silencing [RNA-Seq]","Expression profiling by high throughput sequencing","Arabidopsis thaliana",9,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116066/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA476942",30104406,SRP150995,"xinjian He","Jun 21, 2018"
