Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE52328,"Nfatc1 Orchestrates Aging in Hair Follicle Stem Cells","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",1,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52328/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA227440",24282298,SRP032966,"Brice Keyes","Nov 14, 2013"
GSE57314,"Nfatc1 enhances stem cell contribution to squamous skin tumors","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57314/suppl",,,"Valerie Horsley","May 06, 2014"
GSE81258,"Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",91,,,,27374332,,"William Greenleaf","May 10, 2016"
GSE81255,"Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",67,,"BED;BROADPEAK;BW;CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81255/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA321073",27374332,SRP074733,"William Greenleaf","May 10, 2016"
GSE81256,"Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",12,,"BED;BW;CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81256/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA321072",27374332,SRP074734,"William Greenleaf","May 10, 2016"
GSE81257,"Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility [RNA-seq]","Expression profiling by high throughput sequencing","Mus musculus",12,,"BED;CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81257/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA321071",27374332,SRP074735,"William Greenleaf","May 10, 2016"
GSE147070,"Nfil3, a target of the NACA transcriptional coregulator, affects osteoblast and osteocyte gene expression differentially","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",9,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147070/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA612876",32877713;33875709,SRP252998,"Hadla Hariri","Mar 17, 2020"
GSE154355,"Nfil3, a target of the NACA transcriptional coregulator, affects osteoblast and osteocyte gene expression differentially.","Expression profiling by high throughput sequencing","Mus musculus",6,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154355/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA645940",32877713;33875709;34299363,SRP271649,"Hadla Hariri","Jul 14, 2020"
GSE45492,"Nfix is a novel regulator of murine hematopoietic stem and progenitor cell survival","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45492/suppl",24041575,,"David Finkelstein","Sep 05, 2013"
GSE115754,"Nfkbid represents an Idd7 locus gene contributing to impaired thymic deletion of CD8 T-cells in NOD mice","Expression profiling by array","Mus musculus",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115754/suppl",,,"Timothy Michael Stearns","Jun 14, 2018"
GSE176566,"Nfkbid-overexpression and -ablation enhances thymic deletion of autoreactive AI4 CD8 T-cells","Expression profiling by high throughput sequencing","Mus musculus",16,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176566/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA736716",,SRP323593,"David V Serreze","May 16, 2022"
GSE199404,"NfκB signaling dynamics and their target genes differ between mouse blood cell types and induce distinct cell behavior","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",282,,"CSV;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199404/suppl",35468185,,"Tobias Kull","Jul 20, 2022"
GSE39972,"Ni Deprivation in Synechococcus WH8102","Expression profiling by array","Parasynechococcus marenigrum WH 8102",13,,"TAV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39972/suppl",22904052,,"Chris Dupont","Aug 09, 2012"
GSE73818,"Ni2+-dependent and PsaR-mediated regulation of the virulence genes pcpA, psaBCA, and prtA in Streptococcus pneumoniae","Expression profiling by array","Streptococcus pneumoniae D39",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73818/suppl",26562538,,"Sulman Shafeeq","Nov 20, 2015"
GSE176066,"NicE-C efficiently reveals open chromatin associated chromosome interactions at high resolution","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",32,,"BW;HIC;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176066/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734778",35105668,SRP322418,"Zhengyu Luo","Jan 18, 2022"
GSE138686,"NicE-seq in Suv39h2 knockdown 8-cell stage","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",6,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138686/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA576800",32601371,SRP225046,"Adam Burton","Mar 31, 2020"
GSE97889,"NicE-seq: high resolution open chromatin profiling","Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",14,,"BEDGRAPH;BROADPEAK;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97889/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA383144",28655330,SRP104141,"V K Chaithanya Ponnaluri","May 24, 2017"
GSE96656,"Nicaragua Dengue Natural Infection","Expression profiling by array","Homo sapiens",40,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96656/suppl",30010906,,"Stephen Popper","Jul 31, 2018"
GSE128050,"Niche Derived Netrin-1 Regulates Hematopoietic Stem Cell Dormancy via its Receptor Neogenin-1","Expression profiling by high throughput sequencing","Mus musculus",24,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128050/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526211",33504783,SRP187951,"Leonid Bystrykh","Oct 20, 2020"
GSE84993,"Niche WNT5A regulates expression of the actin regulatory pathway in regenerating repopulating hematopoietic stem cells","Expression profiling by high throughput sequencing","Mus musculus",29,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84993/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA335842",27998927,SRP080326,"Christoph Ziegenhain","Dec 16, 2016"
GSE179671,"Niche differentiation of arsenic-transforming microbial groups in rice rhizosphere compartments as impacted by water management and soil-As concentrations","Expression profiling by array","soil metagenome",18,,,,,,"Anil Somenahally","Jul 12, 2021"
