Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE144596,"RNA extracted from the left ventricle of 3 different mouse heart disease models, wild type, mdx, and mdx sln+/- hearts","Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144596/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA604175",33216625,SRP246321,"Gopal J. Babu","Nov 24, 2020"
GSE92257,"RNA fate determination through co-transcriptional methylation of newely synthesized transcripts","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",59,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92257/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA357047",28581511,SRP094937,"Fabio Mohn","May 18, 2017"
GSE8522,"RNA from 3 d and 2 d old embryos of mibta52b, mibm132 and mibtfi91, and RNA from 3 d, 2d and 1 d old embryos of mibta52b","Expression profiling by array","Danio rerio",42,,,,18213387,,"Govindarajan Kunde Ramamoorthy","Feb 29, 2008"
GSE167753,"RNA from 4T1 tumors in mice treated with miR-loaded EVs","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167753/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA705188",35656866,SRP308399,"Tina M O'Grady","May 13, 2022"
GSE167752,"RNA from RAW 264.7 cells treated with miR-loaded extracellular vesicles","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167752/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA705192",35656866,SRP308398,"Tina M O'Grady","May 13, 2022"
GSE161219,"RNA from mouse lung conditioned medium","Expression profiling by array","Mus musculus",1,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161219/suppl",34135341,,"Sachie Hiratsuka","Apr 11, 2021"
GSE62963,"RNA half-life analysis after transcriptional blocking with actinomycin D","Expression profiling by array;Non-coding RNA profiling by array","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62963/suppl",26151857,,"Eduardo Moraes Reis","Jun 30, 2015"
GSE44585,"RNA helicase A is necessary for KIF1Bβ tumor suppression in neuroblastoma","Expression profiling by high throughput sequencing","Homo sapiens",12,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44585/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA190911",24469107,SRP018815,"Daniel Ramsköld","Feb 05, 2014"
GSE137956,"RNA helicase Belle (DDX3) non-autonomously suppresses germ cell tumorigenesis in the testes of Drosophila via regulation of multiple mRNAs","Expression profiling by high throughput sequencing","Drosophila melanogaster",2,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137956/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA573951",32111103,SRP223219,"Alexei Kotov","Mar 20, 2020"
GSE56802,"RNA helicase DDX21 coordinates transcription and noncoding RNA processing of the ribosomal pathway","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BEDGRAPH;BW;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56802/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA244630",25470060,SRP041180,"Ryan Alexander Flynn","Nov 17, 2014"
GSE128086,"RNA helicase DDX21 mediates nucleotide stress responses","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Danio rerio;Homo sapiens",56,,"BW;NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128086/suppl",,,"Leonard Zon","Feb 04, 2020"
GSE128080,"RNA helicase DDX21 mediates nucleotide stress responses (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128080/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526366",32231306,SRP188035,"Leonard Zon","Feb 04, 2020"
GSE128081,"RNA helicase DDX21 mediates nucleotide stress responses (PRO-Seq)","Expression profiling by high throughput sequencing;Other","Homo sapiens",9,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128081/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526369",,SRP188036,"Leonard Zon","Feb 04, 2020"
GSE128082,"RNA helicase DDX21 mediates nucleotide stress responses (RNA-Seq A375)","Expression profiling by high throughput sequencing","Homo sapiens",24,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128082/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526368",,SRP188037,"Leonard Zon","Feb 04, 2020"
GSE128083,"RNA helicase DDX21 mediates nucleotide stress responses (RNA-Seq drCTr9MO)","Expression profiling by high throughput sequencing","Danio rerio",7,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128083/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526367",,SRP188038,"Leonard Zon","Feb 04, 2020"
GSE128084,"RNA helicase DDX21 mediates nucleotide stress responses (RNA-Seq drLef)","Expression profiling by high throughput sequencing","Danio rerio",4,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128084/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA526372",,SRP188039,"Leonard Zon","Feb 04, 2020"
