Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE159734,"ChAP-seq analysis to identify GoxR binding sites","Genome binding/occupancy profiling by high throughput sequencing","Gluconobacter oxydans",1,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159734/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA670347",33741613,SRP287951,"Angela Kranz","Mar 11, 2021"
GSE99126,"ChAT+ NK cells and ChAT- NK cells expression profile","Expression profiling by array","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99126/suppl",28696300,,"Junwei Hao","May 23, 2017"
GSE133645,"ChEC-Seq: a robust method to identify protein-DNA interactions genome-wide","Genome binding/occupancy profiling by high throughput sequencing","Saccharomyces cerevisiae",10,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133645/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA552083",30804227,SRP212726,"Maria Jessica Bruzzone","Jul 01, 2020"
GSE67453,"ChEC-seq kinetics discriminates transcription factor binding sites by DNA sequence and shape in vivo","Genome binding/occupancy profiling by high throughput sequencing","Saccharomyces cerevisiae",57,,"BED;BEDGRAPH;RTF;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67453/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA279980",26490019,SRP056746,"Jorja Henikoff","Oct 22, 2015"
GSE176752,"ChIA-PET from A549 (ENCSR138NSW)","Other","Homo sapiens",2,,"BED;BEDPE;BIGBED;BIGINTERACT;BIGWIG;HIC;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176752/suppl",22955616,,"ENCODE DCC","Jun 15, 2021"
GSE177818,"ChIA-PET from A549 (ENCSR911ZMB)","Other","Homo sapiens",2,,"BED;BEDPE;BIGBED;BIGINTERACT;BIGWIG;HIC;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE177nnn/GSE177818/suppl",22955616,,"ENCODE DCC","Jun 15, 2021"
GSE177418,"ChIA-PET from AG04449 (ENCSR580MNR)","Other","Homo sapiens",2,,"BED;BEDPE;BIGBED;BIGINTERACT;BIGWIG;HIC;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE177nnn/GSE177418/suppl",22955616,,"ENCODE DCC","Jun 15, 2021"
GSE177547,"ChIA-PET from AG04449 (ENCSR720WRW)","Other","Homo sapiens",2,,"BED;BEDPE;BIGBED;BIGINTERACT;BIGWIG;HIC;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE177nnn/GSE177547/suppl",22955616,,"ENCODE DCC","Jun 15, 2021"
GSE177120,"ChIA-PET from AG04450 (ENCSR514BNX)","Other","Homo sapiens",2,,"BED;BEDPE;BIGBED;BIGINTERACT;BIGWIG;HIC;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE177nnn/GSE177120/suppl",22955616,,"ENCODE DCC","Jun 15, 2021"
GSE127017,"ChIA-PET from ARPE-19 (ENCSR110JOO)","Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127017/suppl",22955616,,"ENCODE DCC","Mar 03, 2019"
