Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE147954,"ADP-ribosylation of H3K27acα by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [H3K27ac_ChIP-Seq_mutants_iBMDM]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",24,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147954/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622633",34168143,SRP254961,"W. Lee Kraus","May 13, 2021"
GSE147955,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [BMDM_RNA-Seq_PJ34]","Expression profiling by high throughput sequencing","Mus musculus",16,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147955/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622641",34168143,SRP254962,"W. Lee Kraus","May 13, 2021"
GSE147956,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [BMDM_RNA-Seq_Parp1Ko]","Expression profiling by high throughput sequencing","Mus musculus",12,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147956/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622640",34168143,SRP254964,"W. Lee Kraus","May 13, 2021"
GSE147952,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [H3K27ac_ChIP-Seq_BMDM]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",16,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147952/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622635",34168143,SRP254957,"W. Lee Kraus","May 13, 2021"
GSE147951,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [STAT1_ChIP-Seq_BMDM]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",16,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147951/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622636",34168143,SRP254956,"W. Lee Kraus","May 13, 2021"
GSE147953,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [STAT1_ChIP-Seq_Mutants_iBMDM]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",32,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147953/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622634",34168143,SRP254959,"W. Lee Kraus","May 13, 2021"
GSE147957,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [iBMDM_RNA-Seq_PJ34]","Expression profiling by high throughput sequencing","Mus musculus",16,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147957/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622639",34168143,SRP254963,"W. Lee Kraus","May 13, 2021"
GSE147958,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [iBMDM_RNA-Seq_Parp1Ko]","Expression profiling by high throughput sequencing","Mus musculus",16,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147958/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622638",34168143,SRP254965,"W. Lee Kraus","May 13, 2021"
GSE147959,"ADP-ribosylation of STAT1α by PARP-1  is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages [iBMDM_Stat1_mutant_RNAseq]","Expression profiling by high throughput sequencing","Mus musculus",30,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147959/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA622637",34168143,SRP254967,"W. Lee Kraus","May 13, 2021"
GSE147960,"ADP-ribosylation of STAT1α by PARP-1 is Required for IFNγ-stimulated Transcriptional Responses in  Macrophages.","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Mus musculus",178,,"BED;BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147960/suppl",34168143,,"W. Lee Kraus","May 13, 2021"
GSE183952,"ADP-ribosylation of mitochondrial proteins is mediated by Neuralized-like protein 4 (NEURL4)","Expression profiling by high throughput sequencing","Homo sapiens",9,,"RESULTS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183952/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA762475",,SRP336645,"Joseph Orofino","Jan 31, 2022"
GSE149297,"ADRB3 overexpression in rat","Expression profiling by array","Rattus norvegicus",13,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149297/suppl",33034410,,"Marja Steenman","Apr 01, 2022"
GSE64604,"ADRM1 amplified metastasis gene in gastric cancer","Expression profiling by array","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64604/suppl",,,"HSIAOWANG CHEN","Jan 01, 2015"
GSE80469,"ADTRP siRNA Microarray Data in HepG2 Cell Line","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80469/suppl",27235449,,"QING K WANG","Sep 07, 2016"
GSE69900,"AE9aId1fl/flCreER cells","Expression profiling by high throughput sequencing","Mus musculus",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69900/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA287046",26084673,SRP059513,"Lan Wang","Jun 16, 2015"
GSE62680,"AEBP2’s roles in cell migration and Polycomb Repressive Complex 2 (PRC2)","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",2,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62680/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA264785",25451679,SRP049234,"Joomyeong Kim","Oct 23, 2015"
GSE106244,"AEC II cell differentiation in miR142 KO mice","Expression profiling by array","Mus musculus",8,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106244/suppl",,,"Jochen Wilhelm","Nov 01, 2019"
GSE106410,"AEC II cell differentiation in miR142 overexpressing mice","Expression profiling by array","Mus musculus",8,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106410/suppl",,,"Jochen Wilhelm","Nov 01, 2019"
