Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE70897,"The transcriptomes of novel marmoset monkey embryonic stem cell lines reflect genomic features","Expression profiling by high throughput sequencing","Callithrix jacchus",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70897/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA289880",27385131,SRP061107,"Gabriela Salinas","Jun 01, 2016"
GSE66937,"The transcriptomes of suicide completers and deceased controls.","Expression profiling by array","Homo sapiens",67,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66937/suppl",,,"Claus Juergen Scholz","Dec 01, 2018"
GSE21291,"The transcriptomes of two heritable cell types illuminate the circuit governing their differentiation","Expression profiling by high throughput sequencing","Candida albicans",7,,"PDF;TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21291/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA126595",21051641;20808890,SRP002376,"Brian Tuch","Jun 25, 2010"
GSE189809,"The transcriptomic analysis of bladder tissue in a rat model of ketamine-induced bladder fibrosis","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Rattus norvegicus",6,,"XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189809/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA784574",,SRP348440,"Kaixuan Li","Feb 28, 2022"
GSE134696,"The transcriptomic analysis of four tissues in growth and reproductive axes of Starry Flounder (Platichthys stellatus)","Expression profiling by high throughput sequencing","Platichthys stellatus",16,,"FASTA;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134696/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA556158",31115741,SRP216013,"Na Wang","Dec 31, 2019"
GSE152116,"The transcriptomic and phenotypic response of the melanized yeast Exophiala dermatitidis to ionizing particle exposure","Expression profiling by high throughput sequencing","Exophiala dermatitidis",20,,"TXT;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152116/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA638366",33510728,SRP266620,"Zachary Schultzhaus","Jun 10, 2020"
GSE153850,"The transcriptomic and physiological basis of desiccation stress response in natural European D. melanogaster populations","Expression profiling by high throughput sequencing","Drosophila melanogaster",36,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153850/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA644353",,SRP270312,"Gabriel Eduardo Rech","Dec 31, 2020"
GSE43352,"The transcriptomic basis of oviposition behaviour in the parasitoid wasp Nasonia vitripennis","Expression profiling by high throughput sequencing","Nasonia vitripennis",16,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43352/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA185498",23894324,SRP017821,"Bart A Pannebakker","Jul 22, 2013"
GSE47367,"The transcriptomic changes affected by BDF2 and SIR2 under salt stress","Expression profiling by array","Saccharomyces cerevisiae",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47367/suppl",,,"Xiaoming Bao","May 26, 2014"
GSE141078,"The transcriptomic changes induced by NREP downregulation in HepG2 cells","Expression profiling by high throughput sequencing","Homo sapiens",6,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141078/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA591945",32250344,SRP233376,"Hui Pan","Jan 04, 2021"
GSE139933,"The transcriptomic differences between Th1, Tr1, Treg, and Tneg cells in Leishmania donovani-infected mice","Expression profiling by high throughput sequencing","Mus musculus",20,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139933/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA587650",,SRP228581,"Susanna Ng","Nov 06, 2019"
GSE139990,"The transcriptomic differences between Th1, Tr1, and Tneg cells in controlled human malaria infection","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139990/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA587905",,SRP228767,"Susanna Ng","Nov 07, 2019"
GSE37349,"The transcriptomic effect of induced LRIG1 expression in NPC cells","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37349/suppl",23624915,,"Chia Huei Lee","May 02, 2013"
GSE137350,"The transcriptomic landscape of MAIT cell development in the thymus","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",685,,,,31757835,,"Shian Su","Sep 26, 2019"
GSE137349,"The transcriptomic landscape of MAIT cell development in the thymus (C006 RNAseq data set)","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",664,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137349/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA565223",31757835,SRP221499,"Shian Su","Sep 26, 2019"
GSE137347,"The transcriptomic landscape of MAIT cell development in the thymus (NN41 RNAseq data set)","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",21,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137347/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA565221",31757835,SRP221492,"Shian Su","Sep 26, 2019"
GSE173899,"The transcriptomic landscape of the photoperiodic stress response in Arabidopsis thaliana resembles the response to pathogen infection","Expression profiling by high throughput sequencing","Arabidopsis thaliana",72,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173899/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA727531",35646013,SRP318562,"Anne Cortleven","Feb 28, 2022"
GSE162313,"The transcriptomic landscapes of rice cultivars with diverse root system architectures grown in upland field conditions","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Oryza sativa",124,,"BW;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162313/suppl",33751672,,"Taiji Kawakatsu","Mar 07, 2021"
GSE162312,"The transcriptomic landscapes of rice cultivars with diverse root system architectures grown in upland field conditions [DAP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Oryza sativa",2,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162312/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA681503",33751672,SRP295081,"Taiji Kawakatsu","Mar 07, 2021"
GSE162311,"The transcriptomic landscapes of rice cultivars with diverse root system architectures grown in upland field conditions [RNA-seq]","Expression profiling by high throughput sequencing","Oryza sativa",122,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162311/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA681502",33751672,SRP295080,"Taiji Kawakatsu","Mar 07, 2021"
GSE57014,"The transcriptomic profile of Pseudozyma aphidis during production of mannosylerythritol lipids","Expression profiling by high throughput sequencing","Moesziomyces aphidis",9,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57014/suppl",25586580,,"Christian Grumaz","Apr 28, 2015"
GSE86032,"The transcriptomic profile of human microvascular endothelial cells after exposure to preeclamptic or normotensive third trimester trophoblast debris","Expression profiling by array","Homo sapiens",10,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86032/suppl",,,"Larry Chamley","Aug 22, 2019"
GSE173670,"The transcriptomic profile of monocytes from patients with Sjögren’s Syndrome is associated with inflammatory parameters and is mimicked by circulating mediators","Expression profiling by high throughput sequencing","Homo sapiens",31,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173670/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA726567",34413853,SRP318041,"Ana Pinheiro Lopes","May 19, 2021"
GSE54790,"The transcriptomic profile of peripheral blood nuclear cells in bovine and cervine in peak lactation and dry period","Expression profiling by array","Bos taurus;Cervus elaphus",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54790/suppl",,,"Magdalena Łój","Feb 11, 2014"
GSE76119,"The transcriptomic profile of peripheral blood nuclear cells in dogs with atopy dermatitis","Expression profiling by array","Canis lupus familiaris",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76119/suppl",27553600,,"Alicja Majewska","Aug 31, 2016"
GSE48319,"The transcriptomic profile of peripheral blood nuclear cells in dogs with heart failure","Expression profiling by array","Canis lupus familiaris",52,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48319/suppl",24952741,,"Magdalena Łój","Jul 20, 2013"
GSE122311,"The transcriptomic profile of porcine anterior pituitary cells is influenced by adiponectin","Expression profiling by array","Sus scrofa;Sus scrofa domesticus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122311/suppl",,,"Kamil Dobrzyn","Nov 09, 2018"
GSE205990,"The transcriptomic profile of rabiës virus (RABV) exposed human monocyte-derived macrophages.","Expression profiling by high throughput sequencing","Homo sapiens",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205990/suppl",,,"Carmen Embregts","Jun 16, 2022"
GSE111831,"The transcriptomic profile of stem-cell derived neurons in 3D culture conditions and stem-cell derived astrocytic cells","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",159,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111831/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA438297",30271673,SRP135684,"Halil Tekin","Apr 09, 2018"
GSE149522,"The transcriptomic profile of the hippocampal microglia in the irradiated juvenile mouse brain","Expression profiling by high throughput sequencing","Mus musculus",48,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149522/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA628980",,SRP258955,"Ahmed Osman","Jun 02, 2020"
GSE150749,"The transcriptomic profile of wild-type and Sur7-deletion Beauveria bassiana grown on nutrient-distinct media","Expression profiling by high throughput sequencing","Beauveria bassiana",12,,"XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150749/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA633494",33512422,SRP262134,"longbin zhang","May 19, 2020"
GSE184996,"The transcriptomic profile of wild-type and Ubr1-deletion Beauveria bassiana cultured in germination medium","Expression profiling by high throughput sequencing","Beauveria bassiana",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184996/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA767346",,SRP339282,"Dingyi Wang","Oct 01, 2021"
GSE62794,"The transcriptomic response of Acinetobacter baumannii to colistin and doripenem alone and in combination in an in vitro pharmacokinetics/pharmacodynamics model","Expression profiling by high throughput sequencing","Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841",22,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62794/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA265162",25587995,SRP049365,"David Richard Powell","Nov 30, 2014"
GSE15059,"The transcriptomic response of E. coli to triclosan exposure","Expression profiling by array","Escherichia coli",3,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15059/suppl",19759044,,"Chrystala Constantinidou","Aug 20, 2009"
GSE149428,"The transcriptomic response of cells to a drug combination is more than the sum of the responses to the monotherapies","Expression profiling by high throughput sequencing","Homo sapiens",282,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149428/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA628675",32945258,SRP258718,"Jennifer Diaz","Apr 28, 2020"
GSE49980,"The transcriptomic response of rat hepatic stellate cells to endotoxin: implications for hepatic inflammation and immune regulation","Expression profiling by array","Rattus norvegicus",11,GDS5251;GDS5252,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49980/suppl",24349206,,"Stephen Alan Kenneth Harvey","Oct 31, 2013"
GSE76976,"The transcriptomic response of the coral Acropora digitifera to a competent Symbiodinium strain: the symbiosome as an arrested early phagosome","Expression profiling by high throughput sequencing","Acropora digitifera",16,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76976/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA309168",27094992,SRP068580,"Amin Roushdy Mohamed","Apr 03, 2016"
GSE118893,"The transcriptomic response to a short day to long day shift in the reference legume Medicago truncatula","Expression profiling by high throughput sequencing","Medicago truncatula",18,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118893/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA487169",30923654,SRP158577,"Geoffrey Owen James Thomson","Aug 23, 2018"
GSE130466,"The transcriptomic response to albendazole (ABZ), mebendazole (MBZ), thiabendazole (TBZ), oxfendazole (OxBZ) and fenbendazole (FBZ) in the C. elegans strain CB3474 ben-1(e1880)III","Expression profiling by high throughput sequencing","Caenorhabditis elegans",18,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130466/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA540299",31542693,SRP194189,"John Stuart Gilleard","Apr 30, 2019"
GSE46366,"The transcriptomic response to finasteride in the Silurana tropicalis testis","Expression profiling by array","Xenopus tropicalis",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46366/suppl",,,"Christopher Joseph Martyniuk","Apr 01, 2014"
GSE16151,"The transcriptomic response to heat stress and bleaching in the Elkhorn coral Acropora palmata","Expression profiling by array","Acropora palmata",22,,"MEV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16151/suppl",,,"Michael DeSalvo","Oct 31, 2009"
GSE58096,"The transcriptomic responses of THP1 human monocyte-like cells expressing SP110b to interferon gamma stimulation","Expression profiling by array","Homo sapiens",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58096/suppl",27858493,,"Bo-Shiun Yan","May 18, 2015"
GSE42258,"The transcriptomic signature of RacA activation and inactivation provides new insights into the morphogenetic network of Aspergillus niger","Expression profiling by array","Aspergillus niger;Aspergillus niger CBS 513.88",14,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42258/suppl",23894378,,"Benjamin M. Nitsche","Aug 25, 2013"
GSE74779,"The transcriptomic signature of diteray zinc supplementation in sheep","Expression profiling by array","Ovis aries",30,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74779/suppl",,,"Ramy Elgendy","Oct 22, 2017"
GSE10653,"The transcriptomic signature of hungry murine liver","Expression profiling by array","Mus musculus",12,GDS3642,"TIFF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10653/suppl",18990241,,"Milka Sokolovic","Oct 23, 2008"
GSE59674,"The transcriptomic signature of myostatin inhibitory influence on the differentiation of mouse C2C12 myoblasts","Expression profiling by array","Mus musculus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59674/suppl",22439337,,"Zofia Wicik","Jul 23, 2014"
GSE138347,"The transcriptomic signature of painful and non-painful human NF2 schwannomas","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138347/suppl",34053190,,"Gary Brenner","May 01, 2020"
GSE138344,"The transcriptomic signature of painful and non-painful human NF2 schwannomas [set1]","Expression profiling by high throughput sequencing","Homo sapiens",11,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138344/suppl",34053190,,"Gary Brenner","May 01, 2020"
GSE138346,"The transcriptomic signature of painful and non-painful human NF2 schwannomas [set2]","Expression profiling by high throughput sequencing","Homo sapiens",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138346/suppl",34053190,,"Gary Brenner","May 01, 2020"
GSE193120,"The transcriptomic signature of physiological trade-offs caused by larval overcrowding in Drosophila melanogaster","Expression profiling by high throughput sequencing","Drosophila melanogaster",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193120/suppl",,,"Herve Colinet","Jan 08, 2022"
GSE66020,"The transcriptomics of an evolved plant-virus gene-for-gene interaction","Expression profiling by array","Arabidopsis thaliana",158,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66020/suppl",27113435,,"Julia Hillung","Apr 18, 2016"
GSE68984,"The transferrin receptor is required for intestinal epithelial homeostasis","Expression profiling by array","Mus musculus",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68984/suppl",26324903,,"Nancy C Andrews","May 19, 2015"
GSE114985,"The transgenerational effects of mitochondrial supplementation","Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114985/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA473442",31040316,SRP149128,"Justin C St. John","May 14, 2019"
GSE135200,"The transgenerational effects of pesticide chlordecone on prostate","Expression profiling by high throughput sequencing","Mus musculus",12,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135200/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA557708",,SRP216979,"Fatima SMAGULOVA","Apr 01, 2021"
GSE43923,"The transient chondrocyte phenotype in osteophytic cartilage - a role of PEDF?","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43923/suppl",,,"Arif B Ekici","Jan 31, 2013"
GSE68530,"The transient inactivation of the master cell cycle phosphatase Cdc14 causes genomic instability in diploid cells of Saccharomyces cerevisiae.","Genome variation profiling by SNP array","Saccharomyces cerevisiae",28,,"GPR;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68530/suppl",25971663,,"Thomas D Petes","May 05, 2015"
GSE6069,"The transition between transcriptional initiation and elongation in E. coli is highly variable and often rate-limiting","Expression profiling by genome tiling array;Genome binding/occupancy profiling by genome tiling array","Escherichia coli",12,,,,17157257,,"Nikos Reppas","Oct 19, 2006"
GSE144871,"The transition from G0 to GAlert is regulated by GLI3 processing by the primary cilia","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144871/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA605180",35803939,SRP247520,"Ontario Genomics Innovation Centre (OGIC)","Mar 30, 2022"
GSE93991,"The transition from proliferation to quiescence in glioblastoma stem-like cells requires Ca2+ signaling and mitochondria remodeling","Expression profiling by high throughput sequencing","Homo sapiens",15,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93991/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA363017",29950651,SRP097668,"jacques h","May 31, 2018"
GSE125064,"The transition from quiescent to activated states in human hematopoietic stem cells is governed by dynamic 3D genome reorganization","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",24,,"BEDPE;HIC;NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125064/suppl",,,"Alexander James Murison","Nov 23, 2020"
GSE125060,"The transition from quiescent to activated states in human hematopoietic stem cells is governed by dynamic 3D genome reorganization [ATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125060/suppl",,,"Alexander James Murison","Nov 23, 2020"
GSE125061,"The transition from quiescent to activated states in human hematopoietic stem cells is governed by dynamic 3D genome reorganization [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125061/suppl",,,"Alexander James Murison","Nov 23, 2020"
GSE125062,"The transition from quiescent to activated states in human hematopoietic stem cells is governed by dynamic 3D genome reorganization [Hi-C]","Other","Homo sapiens",1,,"BEDPE;HIC","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125062/suppl",,,"Alexander James Murison","Nov 23, 2020"
GSE159287,"The transition from quiescent to activated states in human hematopoietic stem cells is governed by dynamic 3D genome reorganization [Low-C]","Other","Homo sapiens",2,,"HIC","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159287/suppl",,,"Alexander James Murison","Nov 23, 2020"
GSE125063,"The transition from quiescent to activated states in human hematopoietic stem cells is governed by dynamic 3D genome reorganization [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125063/suppl",,,"Alexander James Murison","Nov 23, 2020"
GSE108763,"The translation termination factor GSPT1 is a phenotypically relevant off-target of heterobifunctional phthalimide degraders","Expression profiling by high throughput sequencing","Homo sapiens",9,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108763/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA428512",,SRP130932,"Georg E Winter","Jan 20, 2018"
GSE133794,"The translational landscape of ground state pluripotency","Expression profiling by high throughput sequencing;Other","Mus musculus",36,,"BIGWIG;BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133794/suppl",32238817,,"Hendrik G Stunnenberg","Mar 01, 2020"
GSE35469,"The translational landscape of mTOR signaling steers cancer initiation and metastasis","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35469/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA152347",22367541,SRP010679,"Andrew Caleb Hsieh","Feb 28, 2012"
GSE155914,"The translational landscape of phenylephrine-treated neonatal rat cardiomyocytes","Expression profiling by high throughput sequencing","Rattus norvegicus",26,,,,33677093,,"Youchen Yan","Mar 11, 2021"
GSE155899,"The translational landscape of phenylephrine-treated neonatal rat cardiomyocytes [Ribo-seq]","Expression profiling by high throughput sequencing","Rattus norvegicus",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155899/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA655955",33677093,SRP276711,"Youchen Yan","Mar 11, 2021"
GSE155912,"The translational landscape of phenylephrine-treated neonatal rat cardiomyocytes [nsRNA-seq]","Expression profiling by high throughput sequencing","Rattus norvegicus",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155912/suppl",33677093,,"Youchen Yan","Mar 11, 2021"
GSE155913,"The translational landscape of phenylephrine-treated neonatal rat cardiomyocytes [ssRNA-seq]","Expression profiling by high throughput sequencing","Rattus norvegicus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155913/suppl",33677093,,"Youchen Yan","Mar 11, 2021"
GSE171456,"The translational value of patient-derived primary melanoma cell cultures depends on the concentration of Tyrosine in the medium.","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171456/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA719727",34869032,SRP313439,"Jasper Wouters","Nov 03, 2021"
GSE124592,"The translatome of adult cortical axons is regulated by learning in vivo","Expression profiling by high throughput sequencing","Rattus norvegicus",32,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124592/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA512616",31825308,SRP175076,"Linnaea Ostroff","Dec 19, 2019"
