Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE181197,"Binary outcomes of enhancer activity underlie stable random monoallelic expression","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",25,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181197/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA751043",35617021,SRP330561,"Djem Ulian Kissiov","Apr 21, 2022"
GSE84649,"Binary polycyclic aromatic hydrocarbon exposure alters the transcriptome inducing inflammation and inhibiting cell communication through p38 MAPK in lung cells","Expression profiling by array","Mus musculus",18,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84649/suppl",28329830,,"Alison Kendall Bauer","Jul 11, 2017"
GSE78934,"Binding Profiles of Myc and RNA Polymerase II in Rat Neonatal Cardiomyocytes","Genome binding/occupancy profiling by high throughput sequencing","Rattus norvegicus",10,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78934/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA314457",27346836,SRP071202,"Shuichiro Higo","Jul 10, 2016"
GSE182514,"Binding and Transcriptional profile of Halobacterium salinarum histone","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Halobacterium salinarum",64,,"TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182514/suppl",34883507,,"Amy Schmid","Aug 25, 2021"
GSE141713,"Binding and regulation of transcription by yeast Ste12 variants to drive mating and invasion phenotypes","Expression profiling by high throughput sequencing;Other","Saccharomyces cerevisiae",18,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141713/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA595929",31810988,SRP237782,"wei zhou","Jan 30, 2020"
GSE15639,"Binding data for nine transcription factors for S. cerevisiae salt response","Genome binding/occupancy profiling by genome tiling array","Saccharomyces cerevisiae",60,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15639/suppl",19487574,,"Can Bruce","Apr 16, 2009"
GSE47337,"Binding in wild type embryos: SoxN.","Genome binding/occupancy profiling by genome tiling array","Drosophila melanogaster",15,,"PAIR;SGR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47337/suppl",24886562,,"Enrico Ferrero","Apr 23, 2014"
GSE47228,"Binding in wild type, D and SoxN mutant embryos: SoxN vs D.","Genome binding/occupancy profiling by genome tiling array","Drosophila melanogaster",12,,"PAIR;SGR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47228/suppl",24886562,,"Enrico Ferrero","Apr 23, 2014"
GSE50580,"Binding motif analysis of METTL3，WTAP in METTL3，WTAP overexpressed Human 293T cells","Expression profiling by high throughput sequencing;Other","Homo sapiens",4,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50580/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA217983",24407421,SRP029513,"Bao-Fa Sun","Jan 16, 2014"
GSE72860,"Binding of 14-3-3 reader proteins to phosphorylated DNMT1 facilitates aberrant DNA methylation and gene expression","Methylation profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72860/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA295204",26553800,SRP063522,"Guoqiang Zhang","Sep 10, 2015"
GSE101427,"Binding of H2A.Z within gene bodies in cancer cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101427/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA394200",29036442,SRP111908,"Jean-Francois Lucier","Jul 15, 2017"
GSE100407,"Binding of High Mobility Group A proteins to the mammalian genome occurs as a function of AT-content","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Mus musculus",61,,,,29267285,,"Dirk Schuebeler","Dec 21, 2017"
GSE100405,"Binding of High Mobility Group A proteins to the mammalian genome occurs as a function of AT-content [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",46,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100405/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391576",29267285,SRP110242,"Dirk Schuebeler","Dec 21, 2017"
GSE100406,"Binding of High Mobility Group A proteins to the mammalian genome occurs as a function of AT-content [RNA-Seq]","Expression profiling by high throughput sequencing","Mus musculus",15,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100406/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391579",29267285,SRP110243,"Dirk Schuebeler","Dec 21, 2017"
GSE123715,"Binding of Nucleolin to HBV cccDNA","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",20,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123715/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA509631",,SRP173331,"Tobias Flecken","Dec 31, 2021"
GSE100346,"Binding of Runx1 and Runx3 in CD4+ T cells.","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",3,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100346/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391418",,SRP110131,"Gopuraja Dharmalingam","Mar 02, 2020"
GSE72565,"Binding of STAT5 upon IL-2 treatment to genomic sites in mouse CD8 T cells costimulated in vivo through CD134 plus CD137","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",2,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72565/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA294336",,SRP063025,"Anthony T Vella","Sep 30, 2015"
