Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE34147,"Phosphorylated and Sumoylation-Deficient Progesterone Receptors Drive Proliferative Gene Signatures During Breast Cancer Progression (Affymetrix gene expression analysis)","Expression profiling by array","Homo sapiens",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34147/suppl",22697792,,"Todd P Knutson","Jun 07, 2012"
GSE34148,"Phosphorylated and Sumoylation-Deficient Progesterone Receptors Drive Proliferative Gene Signatures During Breast Cancer Progression (Illumina gene expression analysis)","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34148/suppl",22697792,,"Todd P Knutson","Jun 07, 2012"
GSE129895,"Phosphorylation at the S2056 1 cluster of DNA-PKcs is dispensable for lymphocyte development and class switch recombination in mice.","Other","Mus musculus",3,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129895/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA533107",,SRP192737,"Zhengping Shao","Apr 17, 2019"
GSE67988,"Phosphorylation events in the Multiple Gene Regulator of Group A Streptococcus (Mga) Significantly Influences Global Gene Expression and Virulence.","Expression profiling by high throughput sequencing","Streptococcus pyogenes MGAS15252",18,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67988/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA281450",25824840,SRP057294,"Randall J Olsen","Apr 18, 2015"
GSE56723,"Phosphorylation of Bacillus subtilis gene regulator AbrB modulates its DNA-binding properties","Expression profiling by genome tiling array","Bacillus subtilis subsp. subtilis str. 168",6,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56723/suppl",24731262,,"Olivier Delumeau","Apr 11, 2014"
GSE83575,"Phosphorylation of CBP20 links microRNA to root growth in the ethylene response","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Arabidopsis thaliana",32,,,,27870849,,"FAN ZHANG","Oct 31, 2016"
GSE168888,"Phosphorylation of Cajal body protein coilin activated by UHMK1 influences the sensitivity of colon cancer cells to 5-FU","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168888/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA714432",35151311,SRP310589,"niu huan","Mar 15, 2021"
GSE97736,"Phosphorylation of EZH2 by AMPK Suppresses PRC2 Methyltransferase Activity and Oncogenic Function","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Mus musculus",6,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97736/suppl",29351847,,"Kexin Xu","Dec 15, 2017"
GSE14715,"Phosphorylation of MeCP2 at Serine 80 regulates its chromatin association and neurological function","Expression profiling by array","Mus musculus",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14715/suppl",19225110,,"Yi Sun","Feb 10, 2009"
GSE168977,"Phosphorylation of Ribosomal Protein S6 differentially affects mRNA translation based on ORF length","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",7,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168977/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA714824",34871442,SRP310845,"Jonathan Bohlen","Dec 22, 2021"
