Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE144152,"RNAseq of hIPS cells at day 0 and hiPS-differentiated induced neuron at day 4 post neuronal induction","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144152/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA602890",32923624,SRP244382,"Delphine Grun","Jan 24, 2020"
GSE98941,"RNAseq of hPSC-derived cardiac progenitors: normal vs. polyI:C treated (functionally advanced), and TGFbeta treated (cardiac fibroblast progenitors)","Expression profiling by high throughput sequencing","Homo sapiens",9,,"CSV;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98941/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA386871",,SRP107288,"Mitch Biermann","Aug 01, 2018"
GSE132259,"RNAseq of haemogenic and aortic endothelium in zebrafish embryos 28-20 hours post fertilization","Expression profiling by high throughput sequencing","Danio rerio",21,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132259/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA547066",31395869,SRP200560,"Florian Bonkhofer","Jun 06, 2019"
GSE176012,"RNAseq of hnRNPC and ADAR deficient THP-1","Expression profiling by high throughput sequencing","Homo sapiens",66,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176012/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734583",34297039,SRP322343,"Anna-Maria Herzner","Jul 16, 2021"
GSE114918,"RNAseq of human SNc and VTA midbrain dopamine neurons isolated from post mortem material of control subjects and Parkinson's Disease patients using laser capture microdisection.","Expression profiling by high throughput sequencing","Homo sapiens",52,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114918/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA473129",34305528,SRP148970,"Eva Hedlund","Jun 21, 2021"
GSE160149,"RNAseq of human brain cell lines","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160149/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA672108",,SRP288627,"L. H.","Apr 23, 2021"
GSE135491,"RNAseq of human macrophages obtained from in vitro treatments with M-CSF/GM-CSF/CM-WSU-FSCCL","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135491/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA559087",,SRP217681,"Luis Hernandez","Jun 23, 2022"
GSE132178,"RNAseq of human monocyte cell line (U937-Cas9) WT or IRF2KO","Expression profiling by high throughput sequencing","Homo sapiens",9,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132178/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA546263",31353801,SRP200406,"Thomas Henry","Sep 05, 2019"
GSE181550,"RNAseq of human retinal pigment epithelial cells/choroid","Expression profiling by high throughput sequencing","Homo sapiens",3,,"SF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181550/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA752566",,SRP331330,"Raymond Ching-Bong Wong","Nov 01, 2021"
GSE108016,"RNAseq of hypnozoites and schizonts in the MPCC system","Expression profiling by high throughput sequencing","Plasmodium vivax",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108016/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA422240",29478773,SRP126641,"Sangeeta N. Bhatia","Feb 23, 2018"
