Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE116700,"	 Valdivieso A, Ribas L, Piferrer F. Ovarian transcriptomic signatures of zebrafish females resistant to different environmental perturbations.","Expression profiling by array","Danio rerio",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116700/suppl",30945804,,"Alejandro Valdivieso","May 14, 2019"
GSE106806,"	DNA methylation regulates the neonatal CD4+ T-cell response to pneumonia in mice","Methylation profiling by high throughput sequencing","Mus musculus",12,,"COV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106806/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA418112",29866884,SRP124836,"Benjamin D. Singer","Jun 04, 2018"
GSE185036,"	Human Pluripotent Stem Cell-derived Islets Ameliorate Diabetes in Nonhuman Primates [human_singlecell]","Expression profiling by high throughput sequencing","Homo sapiens",3,,"CSV;TAR;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185036/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA767420",35115708,SRP339354,"Yaqi Wang","Feb 04, 2022"
GSE160313,"	In vivo CRISPR screening reveals nutrient signaling processes underpinning CD8+ T cell fate decisions [Pofut1 ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",8,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160313/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA672934",33636132,SRP289484,"Hongbo Chi","Feb 25, 2021"
GSE79032,"	RNA Sequencing Reveals that Kaposi Sarcoma-Associated Herpesvirus Infection Mimics Hypoxia Gene Expression Signature","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",12,,"BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79032/suppl",28046107,,"Coralie Viollet","Dec 21, 2016"
GSE117708," 	‘Sertoli cell-only’ phenotype and single-cell RNA-seq define PRAMEF12 as a germline-specific factor for male stem cell maintenance and differentiation","Expression profiling by high throughput sequencing","Mus musculus",14,,"TAR;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117708/suppl",31729367,,"Cameron Palmer","Oct 21, 2019"
GSE117706," 	‘Sertoli cell-only’ phenotype and single-cell RNA-seq define PRAMEF12 as a germline-specific factor for male stem cell maintenance and differentiation [RNA-Seq]","Expression profiling by high throughput sequencing","Mus musculus",12,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117706/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA483008",31729367,SRP155369,"Cameron Palmer","Oct 22, 2019"
GSE145716," 	Beyond flowering time: diverse roles of an APETALA2‐like transcription factor in shoot architecture and perennial traits","Genome variation profiling by high throughput sequencing","Arabis alpina",2,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145716/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA608065",32745288,SRP250385,"Maria Albani","Jan 26, 2021"
GSE179265," 	Inflammatory molecular endotypes of nasal polyps derived from Caucasian and Japanese populations","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179265/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA743028",34863854,SRP326492,"Tsuguhisa Nakayama","Dec 15, 2021"
GSE179268," 	Inflammatory molecular endotypes of nasal polyps derived from Caucasian and Japanese populations","Expression profiling by high throughput sequencing","Homo sapiens",2,,"MTX;RDATA;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179268/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA743036",34863854,SRP326495,"Tsuguhisa Nakayama","Dec 15, 2021"
GSE98289,"  Post-transcriptional remodelling is temporally deregulated during motor neurogenesis in human ALS models","Expression profiling by high throughput sequencing","Homo sapiens",11,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98289/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA384598",28564594;29789581,SRP105348,"Raphaelle Luisier","Mar 08, 2018"
GSE98290,"  Post-transcriptional remodelling is temporally deregulated during motor neurogenesis in human ALS models","Expression profiling by high throughput sequencing","Homo sapiens",35,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98290/suppl",28564594;29789581,,"Raphaelle Luisier","May 31, 2017"
