Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE33874,"Identification of a Potential Ovarian Cancer Stem Cell Gene Expression Profile from Advanced Stage Papillary Serous Ovarian Cancer","Expression profiling by array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33874/suppl",22272227,,"Michael Birrer","Nov 23, 2011"
GSE27514,"Identification of a Potently Oncogenic CALM-AF10 Minimal-Fusion Mutant","Non-coding RNA profiling by array;Expression profiling by array","Mus musculus;synthetic construct",24,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27514/suppl",21681188,,"Karlheinz Holzmann","Oct 05, 2011"
GSE27513,"Identification of a Potently Oncogenic CALM-AF10 Minimal-Fusion Mutant (mRNA)","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27513/suppl",21681188,,"Karlheinz Holzmann","Oct 05, 2011"
GSE27512,"Identification of a Potently Oncogenic CALM-AF10 Minimal-Fusion Mutant (miRNA)","Non-coding RNA profiling by array","Mus musculus;synthetic construct",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27512/suppl",21681188,,"Karlheinz Holzmann","Oct 05, 2011"
GSE83420,"Identification of a RAI1-associated disease network through integration of exome sequencing, transcriptomics and 3D genomics","Other","Homo sapiens",2,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83420/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA325862",27799067,SRP076648,"Marion LELEU","Feb 12, 2017"
GSE137155,"Identification of a STAT2 transcriptome in HCT116 p53 null tumor xenografts","Expression profiling by high throughput sequencing","Homo sapiens",5,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137155/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA564684",,SRP221176,"Ana Maria Gamero","Nov 17, 2020"
GSE19537,"Identification of a Serum Induced Transcriptional Signature Associated with Type 1 Diabetes in the BioBreeding Rat","Expression profiling by array","Rattus norvegicus",53,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19537/suppl",20682698,,"Martin Hessner","Dec 17, 2009"
GSE121748,"Identification of a T cell lymphoma in plkcGAPDH transgenic mice","Genome variation profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Mus musculus",15,,"VCF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121748/suppl",,,"Kevin Lebrigand","Oct 20, 2021"
GSE121747,"Identification of a T cell lymphoma in plkcGAPDH transgénic mice (RNA-Seq)","Expression profiling by high throughput sequencing","Mus musculus",9,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121747/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA498574",,SRP166994,"Kevin Lebrigand","Oct 20, 2021"
GSE93219,"Identification of a T cell signature associated with allergic diseases in Human","Expression profiling by array","Homo sapiens",13,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93219/suppl",28768806,,"Scott Presnell","Oct 05, 2017"
GSE132798,"Identification of a T follicular helper subset that drives anaphylactic IgE","Expression profiling by high throughput sequencing","Mus musculus",4,,"CSV;MTX;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132798/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549081",31371561,SRP201549,"William F Flynn","Aug 06, 2019"
GSE148497,"Identification of a T-bet hi Quiescent Exhausted CD8 T Cell Subpopulation That Can Differentiate into TIM3 + CX3CR1 + Effectors and Memory-like Cells","Expression profiling by high throughput sequencing","Mus musculus",1,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148497/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA624656",34088768,SRP256221,"Takeshi Egawa","Apr 13, 2021"
GSE121592,"Identification of a T-cell lymphoma in plkcGAPDH transgenic mice (Exome)","Genome variation profiling by high throughput sequencing","Mus musculus",6,,"VCF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121592/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA498681",,SRP166976,"Kevin Lebrigand","Oct 20, 2021"
