Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE30022,"Gene expression profiles of mouse splenic macrophages and CD8+ and CD8- conventional dendritic cells","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30022/suppl",,,"Priyanka Sathe","Jun 17, 2011"
GSE99636,"Gene expression profiles of multiple myeloma plasma cell fractions from bone marrow","Expression profiling by array","Homo sapiens",66,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99636/suppl",30254104;29513759,,"Rasmus Froberg Brøndum","Sep 27, 2018"
GSE99634,"Gene expression profiles of multiple myeloma plasma cell fractions from bone marrow I","Expression profiling by array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99634/suppl",30254104,,"Rasmus Froberg Brøndum","Sep 27, 2018"
GSE99635,"Gene expression profiles of multiple myeloma plasma cell fractions from bone marrow II","Expression profiling by array","Homo sapiens",35,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99635/suppl",30254104,,"Rasmus Froberg Brøndum","Sep 27, 2018"
GSE107843,"Gene expression profiles of multiple myeloma plasma cell fractions from bone marrow III","Expression profiling by array","Homo sapiens",21,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107843/suppl",30254104;29513759,,"Rasmus Froberg Brøndum","Sep 27, 2018"
GSE51107,"Gene expression profiles of murine Runx1;Runx3 double deficient cKit+Sca1+Lin- hematopoietic stem/progenitor cells","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51107/suppl",25066130,,"Motomi Osato","Aug 26, 2014"
GSE97152,"Gene expression profiles of murine fibroblasts and iPS","Expression profiling by array","Mus musculus",5,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97152/suppl",,,"Adrian Schwarzer","Mar 01, 2018"
GSE17702,"Gene expression profiles of murine granule neuron precursors and medulloblastoma","Expression profiling by array","Mus musculus",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17702/suppl",20460306,,"Eunice Lee","Jun 03, 2010"
GSE179375,"Gene expression profiles of mutant ASXL1 knock-in HSPCs","Expression profiling by high throughput sequencing","Mus musculus",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179375/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA743508",,SRP326780,"Keita Yamamoto","Jul 05, 2021"
GSE20540,"Gene expression profiles of myeloma cells interacting with bone marrow stromal cells in vitro","Expression profiling by array","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20540/suppl",20228816,,"Constantine S. Mitsiades","Mar 14, 2010"
GSE33577,"Gene expression profiles of myeloma cells treated with NAE inhibitor","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33577/suppl",22246439,,"Constantine S. Mitsiades","May 02, 2012"
GSE60379,"Gene expression profiles of nasopharyngeal carcinoma cell line HNE2 following TP53 overexpression","Expression profiling by array","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60379/suppl",25422887,,"Wei Xiong","May 14, 2015"
GSE72197,"Gene expression profiles of naïve PC-9 cells and PC-9GR cells that are resistant to gefitinib.","Expression profiling by array","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72197/suppl",27659708,,"Hirohiko Hohjoh","Dec 31, 2016"
GSE11161,"Gene expression profiles of neonatal bladder samples. (GUDMAP Series ID: 19)","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11161/suppl",,,"GUDMAP Developers","Apr 17, 2008"
GSE56584,"Gene expression profiles of neonatal cardiomyocytes and immortalized heart muscle cells exposed to inflammatory stimuli","Expression profiling by array","Mus musculus",39,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56584/suppl",,,"S. Lambeck","Jul 01, 2014"
GSE39350,"Gene expression profiles of non-genotoxic hepatocarcinogens and hepatotoxicants in rat liver","Expression profiling by array","Rattus norvegicus",38,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39350/suppl",,,"Sophie Ludwig","Jul 31, 2013"
GSE131837,"Gene expression profiles of non-recurrent human glioblastoma tissues","Expression profiling by array","Homo sapiens",52,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131837/suppl",31332251,,"Junseong Park","May 29, 2019"
GSE159000,"Gene expression profiles of non-recurrent human glioblastoma tumorspheres","Expression profiling by array","Homo sapiens",34,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159000/suppl",,,"Junseong Park","Oct 06, 2020"
GSE68878,"Gene expression profiles of normal B-cell subsets from sternal bone marrow","Expression profiling by array","Homo sapiens",38,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68878/suppl",26394393;30254104;29513759,,"Julie Støve Bødker","Feb 09, 2016"
GSE171875,"Gene expression profiles of normal and activity-silenced mitral cells at P3 and P6","Expression profiling by array","Mus musculus",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171875/suppl",34161760,,"Takeshi Imai","Apr 13, 2021"
GSE108629,"Gene expression profiles of normal and injured podocytes induced by immunotoxin.","Expression profiling by array","Mus musculus",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108629/suppl",30379099,,"Masahiro Okabe","Nov 06, 2018"
GSE28718,"Gene expression profiles of normal and tumor tissues from denervated prostate and intact prostate .","Expression profiling by array","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28718/suppl",29131367,,"Chad Creighton","Nov 30, 2017"
GSE16997,"Gene expression profiles of normal human mammary cell subpopulations FACS sorted based on expression of CD49f and EpCAM","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16997/suppl",19648928,,"Jane E Visvader","Jul 09, 2009"
GSE69767,"Gene expression profiles of normal human tonsillar cell subpopulations FACS sorted based on expression of cell surface markers","Expression profiling by array","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69767/suppl",26527383,,"Catherine Kang","Oct 29, 2015"
