Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE44233,"Comparison of cardiomyocyte transcripts after knockdown of Gata4 in zebrafish embryos","Expression profiling by high throughput sequencing","Danio rerio",6,,"TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44233/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA189226",23850773,SRP018538,"Gabriel Rosenfeld","Feb 06, 2014"
GSE50012,"Comparison of cellular and transcriptional responses to 1,25-dihydroxyvitamin D3 and glucocorticoids in peripheral blood mononuclear cells","Expression profiling by array","Homo sapiens",72,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50012/suppl",24116131;24550213,,"Joseph C Maranville","Aug 21, 2013"
GSE190809,"Comparison of cellular transcriptome between mouse cardiac microvascular cell types.","Expression profiling by high throughput sequencing","Mus musculus",9,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190809/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA788501",,SRP350651,"Jessica Minnier","Dec 15, 2021"
GSE84208,"Comparison of cerebellum between High Runner and Control mouse genotypes in Free or Blocked from Wheel running environments","Expression profiling by high throughput sequencing","Mus musculus",16,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84208/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA328354",27893846,SRP078198,"Sandra Rodriguez Zas","Feb 12, 2017"
GSE193060,"Comparison of changes in mRNA expression profiles in arteries and heart valves in rabbit models of dietary lipid-triggered cardiovascular diseases","Expression profiling by high throughput sequencing","Oryctolagus cuniculus",134,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193060/suppl",35295264,,"Zheshen Jiang","Jan 08, 2022"
GSE155900,"Comparison of children and adults’ lung tissues by scRNA-seq","Expression profiling by high throughput sequencing","Homo sapiens",10,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155900/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA656002",34047474,SRP276762,"Fei jia","Dec 29, 2021"
GSE129034,"Comparison of chromatin accessibility between human and non-human primates","Genome binding/occupancy profiling by high throughput sequencing","Gorilla gorilla;Homo sapiens;Macaca mulatta;Pan troglodytes;Pongo pygmaeus",15,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129034/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA529812",31599933,SRP189858,"Gregory Crawford","Oct 11, 2019"
GSE94841,"Comparison of circRNA expression profile among the livers of C57BL/6J control mice, high fat diet (HFD) mice and metformin treated mice","Non-coding RNA profiling by array","Mus musculus",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94841/suppl",29466788,,"Qinghua Cui","Jun 21, 2018"
GSE55442,"Comparison of class-B GATA overexpression transcriptomes","Expression profiling by array","Arabidopsis thaliana",22,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55442/suppl",25077795,,"Claus Schwechheimer","Oct 02, 2014"
GSE105032,"Comparison of collection strategies for germline analysis","Genome variation profiling by array","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105032/suppl",29206863,,"Brian Crompton","Oct 17, 2017"
GSE10929,"Comparison of consecutive microarray platforms","Expression profiling by array","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10929/suppl",,,"Joachim Schultze","Dec 31, 2008"
GSE26121,"Comparison of constitutional and replication stress-induced genome structural variation by SNP array and mate-pair sequencing","Genome variation profiling by SNP array","Homo sapiens",2,,,,21212237,,"Thomas E. Wilson","Dec 18, 2010"
GSE1392,"Comparison of conventional and germ-free gastrointestinal tract","Expression profiling by array","Mus musculus",24,GDS640,,,15226484,,"James Holzwarth","Jun 24, 2004"
GSE6671,"Comparison of conventional target labelling to PCR and IVT amplified target populations","Expression profiling by array","Arabidopsis thaliana",8,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6671/suppl",18253465;18923020,,"Robert Day","Apr 02, 2007"
GSE24400,"Comparison of copy number variations between wildtype and BCL6 knockout BCR-ABL1-driven acute lymphoblastic leukemia","Genome variation profiling by genome tiling array","Mus musculus",6,,"PAIR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24400/suppl",21593872,,"Markus Müschen","Sep 29, 2010"
GSE24599,"Comparison of cornea to the surface tissues, dermis and epidermis, in adult zebrafish","Expression profiling by array","Danio rerio",14,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24599/suppl",25692557,,"Masanari Takamiya","Feb 19, 2015"
GSE12604,"Comparison of corneal and conjunctival keratinocyte clones","Expression profiling by array","Sus scrofa",6,,"CEL;EXP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12604/suppl",18830243,,"Sylvain Pradervand","Aug 29, 2008"
GSE6676,"Comparison of corneas from wildtype mice to those from mice under the influence of high doses of TGF-beta russe-affy-mouse-372894","Expression profiling by array","Mus musculus",8,GDS2974,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6676/suppl",,,"Winnie Liang","Jan 09, 2007"
GSE75486,"Comparison of cortex generated either in vivo or in vitro from mouse ESC","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Mus musculus",57,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75486/suppl",27095822,,"Tristan Bouschet","Apr 21, 2016"
