Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE74596,"Innate-like functions of natural killer T cell subsets result from highly divergent gene programs [single_cell_RNA-seq]","Expression profiling by high throughput sequencing","Mus musculus",203,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74596/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA300942",27089380,SRP065661,"Pandurangan Vijayanand","Apr 18, 2016"
GSE4965,"Inner Ear Tissues","Expression profiling by MPSS","Mus musculus",3,,,,17049805,,"Robert James Morell","Oct 01, 2006"
GSE73828,"Inner ear expression data from pooled inner ear tissue from stages 50,51,52 Xenopus laevis larval inner ears","Expression profiling by array","Xenopus laevis",3,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73828/suppl",,,"Selene Virk","Dec 31, 2016"
GSE73829,"Inner ear expression data from pooled inner ear tissue from stages 56,57,58 Xenopus laevis larval inner ears","Expression profiling by array","Xenopus laevis",3,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73829/suppl",26582541,,"Selene Virk","Feb 29, 2016"
GSE89556,"Inner ear supporting cells are organized tissue-resident macrophages arranged like cobblestones.","Expression profiling by array","Mus musculus",5,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89556/suppl",34843580,,"Nobuyuki Tanaka","Dec 10, 2016"
GSE181234,"Inner nuclear protein Matrin-3 coordinates cell differentiation by stabilizing chromatin architecture","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Mus musculus",72,,"TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181234/suppl",34716321,,"Hye Ji Cha","Sep 19, 2021"
GSE181230,"Inner nuclear protein Matrin-3 coordinates cell differentiation by stabilizing chromatin architecture [ATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181230/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA751090",34716321,SRP330622,"Hye Ji Cha","Sep 20, 2021"
GSE181231,"Inner nuclear protein Matrin-3 coordinates cell differentiation by stabilizing chromatin architecture [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",38,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181231/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA751091",34716321,SRP330621,"Hye Ji Cha","Sep 20, 2021"
GSE181232,"Inner nuclear protein Matrin-3 coordinates cell differentiation by stabilizing chromatin architecture [Hi-C]","Other","Mus musculus",8,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181232/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA751092",34716321,SRP330623,"Hye Ji Cha","Sep 20, 2021"
GSE181233,"Inner nuclear protein Matrin-3 coordinates cell differentiation by stabilizing chromatin architecture [RNA-Seq]","Expression profiling by high throughput sequencing","Mus musculus",22,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181233/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA751093",34716321,SRP330624,"Hye Ji Cha","Sep 20, 2021"
GSE94254,"Inner stem tissue of V2 seedlings and husks (maize B73)","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Zea mays",19,,,,28732548,,"Maike Stam","Jul 03, 2017"
GSE109137,"Inner-ear miRNA Time-course Expression","Non-coding RNA profiling by high throughput sequencing","Homo sapiens",27,,"CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109137/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA429755",29373586,SRP128997,"Dominic LaRoche","Feb 14, 2018"
GSE1741,"Innervated and 2 month Denervated Rat EDL muscles","Expression profiling by array","Rattus norvegicus",16,,,,15840640,,"Tatiana Y. Kostrominova","Sep 10, 2004"
GSE151761,"Innovations in primate interneuron repertoire","Expression profiling by high throughput sequencing","Callithrix jacchus;Homo sapiens;Macaca mulatta;Mus musculus;Mustela putorius furo",123,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151761/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA637106",32999462,SRP265861,"Fenna Marie Krienen","Jun 04, 2020"
GSE198236,"Innovative mouse models for the tumor suppressor activity of Protocadherin-10 isoforms","Expression profiling by high throughput sequencing","Mus musculus",21,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198236/suppl",35468745,,"Liesbet Martens","Mar 12, 2022"
GSE9421,"Ino80 chromatin remodeling complex promotes recovery of stalled replication forks","Genome binding/occupancy profiling by genome tiling array","Saccharomyces cerevisiae",15,,"CEL;EXP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9421/suppl",18406137,,"Yukako Oma","Apr 10, 2008"
GSE30707,"Inoculation of rice with the non-host pathogen Puccinia triticina f. sp. tritici elicits an active transcriptional response","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",6,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30707/suppl",,,"Jianfa Bai","Dec 01, 2014"
GSE154303,"Inorganic phosphate solubilization by rhizosphere bacterium Paenibacillus sonchi genomovar Riograndensis SBR5: gene expression and physiological functions","Expression profiling by high throughput sequencing","Paenibacillus riograndensis",2,,"XLS;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154303/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA645831",33424789,SRP271552,"Luciana Fernandes de Brito","Jan 13, 2021"
GSE183880,"Inosine monophosphate and inosine differentially regulate endotoxemia and bacterial sepsis","Expression profiling by high throughput sequencing","Mus musculus",6,,"CSV;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183880/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA762272",34591327,SRP336446,"George Hasko","Sep 12, 2021"
