Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE148265,"Gene expression analyses of palbociclib treated ER+ breast cancer cell lines as assessed by RNA-seq","Expression profiling by high throughput sequencing","Homo sapiens",15,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148265/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA623621",33356791,SRP255639,"Reeja Maskey","Dec 28, 2020"
GSE43281,"Gene expression analyses of primary tumors and metastases, using p53 mouse models","Expression profiling by array","Mus musculus",27,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43281/suppl",25579177,,"Chad Creighton","Mar 12, 2015"
GSE16574,"Gene expression analyses of putative miRNA targets in ovarian clear cell cancer cell lines","Expression profiling by array","Homo sapiens",40,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16574/suppl",20081105,,"Chad Creighton","Jan 28, 2010"
GSE80614,"Gene expression analyses of the differentiating hMSC into Osteoblasts and Adipocytes.","Expression profiling by array","Homo sapiens",66,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80614/suppl",28344004,,"Jeroen van de Peppel","Mar 15, 2017"
GSE185140,"Gene expression analyses of three early phases of osteogenic, adipogenic, and chondrogenic differentiation of rat bone marrow mesenchymal stem cells","Expression profiling by high throughput sequencing","Rattus norvegicus",30,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185140/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA767796",34765608;35223983,SRP352742,"Qingyu Zhang","Oct 23, 2021"
GSE14079,"Gene expression analysis & Comparative genomic hybridization from Lung cancer Cell lines","Expression profiling by array;Genome variation profiling by array","Homo sapiens",16,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14079/suppl",19153074,,"Pedro P Medina-Vico","Mar 03, 2009"
GSE80053,"Gene expression analysis (RNA-seq) of Arabidopsis thaliana roots in wild type and trm4b-1 mutants under control and oxidative stress conditions","Expression profiling by high throughput sequencing","Arabidopsis thaliana",12,,"XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80053/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA317692",,SRP073003,"Alice Louise Burgess","Apr 07, 2017"
GSE143876,"Gene expression analysis after miR-125a-3p over-expression in oligodendrocyte precursor cells (OPCs)","Expression profiling by array","Rattus norvegicus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143876/suppl",32163190,,"Davide Marangon","Jan 21, 2021"
GSE21455,"Gene expression analysis after reconstitution of Ebf1-deficient pre-pro-B cells with Ebf1","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21455/suppl",20451411,,"Rudolf Grosschedl","Jun 24, 2010"
GSE120047,"Gene expression analysis after selective expression of coagulation factor FVII","Expression profiling by array","Homo sapiens",8,,"IDAT;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120047/suppl",,,"Henri H Versteeg","Sep 18, 2018"
