Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE82048,"Transcriptional screening in MDA-231 cells treated with low-dose Paclitaxel for 24 and 48 hours","Expression profiling by array","Homo sapiens",6,,"GPR;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82048/suppl",,,"Sun Lidong","Jun 01, 2016"
GSE123308,"Transcriptional shifts during juvenile Coho salmon (Oncorhynchus kisutch) life stage changes in freshwater and early marine environments","Expression profiling by array","Oncorhynchus kisutch;Salmo salar",735,,,,,,"Shaorong Li","Dec 03, 2019"
GSE123304,"Transcriptional shifts during juvenile Coho salmon (Oncorhynchus kisutch) life stage changes in freshwater and early marine environments [brain]","Expression profiling by array","Oncorhynchus kisutch;Salmo salar",206,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123304/suppl",,,"Shaorong Li","Dec 03, 2019"
GSE123305,"Transcriptional shifts during juvenile Coho salmon (Oncorhynchus kisutch) life stage changes in freshwater and early marine environments [gill]","Expression profiling by array","Oncorhynchus kisutch;Salmo salar",82,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123305/suppl",,,"Shaorong Li","Dec 03, 2019"
GSE123307,"Transcriptional shifts during juvenile Coho salmon (Oncorhynchus kisutch) life stage changes in freshwater and early marine environments [liver]","Expression profiling by array","Oncorhynchus kisutch;Salmo salar",226,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123307/suppl",,,"Shaorong Li","Dec 03, 2019"
GSE123306,"Transcriptional shifts during juvenile Coho salmon (Oncorhynchus kisutch) life stage changes in freshwater and early marine environments [muscle]","Expression profiling by array","Oncorhynchus kisutch;Salmo salar",221,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123306/suppl",,,"Shaorong Li","Dec 03, 2019"
GSE104748,"Transcriptional signature in liver reveal seasonal metabolic adaptation in the night-migratory blackheaded buntings","Expression profiling by high throughput sequencing","Emberiza melanocephala",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104748/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA413749",30538637,SRP119640,"Vivek Swarup","Dec 26, 2018"
GSE165306,"Transcriptional signature in microglia associated with Aβ plaque phagocytosis","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",82,,"CSV;MTX;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165306/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA694049",34021136,SRP302849,"Gabriel Chew","Jan 31, 2021"
GSE83953,"Transcriptional signature in rat colonocytes in response to a high protein diet","Expression profiling by array","Rattus norvegicus",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83953/suppl",28137254,,"Martin BEAUMONT","Dec 30, 2016"
GSE156422,"Transcriptional signature of BCG vaccination","Expression profiling by high throughput sequencing","Homo sapiens",78,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156422/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA657864",34902786,SRP277944;SRP349329,"Paige Dubelko","Dec 06, 2021"
GSE12410,"Transcriptional signature of C/EBPBeta in Hep3B cells: Involvement of the LAP and LIP isoforms in hepatocarcinogenesis","Expression profiling by array","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12410/suppl",21145827,,"Jean Philippe SALIER","Jan 16, 2011"
GSE135965,"Transcriptional signature of CD4+ T cells from visceral leishmaniasis patients","Expression profiling by high throughput sequencing","Homo sapiens",22,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135965/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA560793",,SRP218732,"Susanna Ng","Jun 12, 2020"
GSE148655,"Transcriptional signature of CD4hiCD38hi T cells from patients with Plasmodium falciparum or Plasmodium knowlesi malaria","Expression profiling by array","Homo sapiens",36,,"RCC","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148655/suppl",,,"Simon H Apte","May 13, 2022"
GSE17408,"Transcriptional signature of Drosophila wing disc regeneration","Expression profiling by array","Drosophila melanogaster",12,,,,20813047,,"Sergi Beltran","Oct 22, 2010"
GSE9481,"Transcriptional signature of IFN-alfa in the side population of ovarian cancer cells","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE9nnn/GSE9481/suppl",18632618,,"Alberto Corradin","Oct 29, 2008"
GSE10943,"Transcriptional signature of IFN-alpha in the non-side population of ovarian cancer cells","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10943/suppl",,,"Alberto Corradin","Mar 25, 2009"
GSE132790,"Transcriptional signature of MAITs in LTBI","Expression profiling by high throughput sequencing","Homo sapiens",60,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132790/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549010",32499216,SRP201518,"Mikhail Pomaznoy","May 13, 2020"
GSE132931,"Transcriptional signature of MAITs in LTBI (CD8+ or CD8-)","Expression profiling by high throughput sequencing","Homo sapiens",10,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132931/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549485",32499216,SRP201777,"Mikhail Pomaznoy","May 13, 2020"
GSE132932,"Transcriptional signature of MAITs in LTBI (memory CD8 T cells and subsets of TRAV1-2+CD161+ MAITs)","Expression profiling by high throughput sequencing","Homo sapiens",60,,"TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132932/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA549484",32499216,SRP201780,"Mikhail Pomaznoy","May 13, 2020"
GSE88950,"Transcriptional signature of SPCH mutants compromised in the bHLH domain in response to brassinosteroids","Expression profiling by array","Arabidopsis thaliana",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88950/suppl",28507175,,"Alberto de Marcos Serrano","May 19, 2017"
GSE58867,"Transcriptional signature of Th17 cells expressing ICOS-based CARs","Expression profiling by array","Homo sapiens",45,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58867/suppl",24986688,,"Carl June","Jun 26, 2014"
GSE90069,"Transcriptional signature of human mesoangioblasts from different fetal tissues.","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90069/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA354372",31975556,SRP093676,"Sylvain LEMEILLE","Feb 11, 2020"
GSE111346,"Transcriptional signature of human placental mast cells","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111346/suppl",,,"Amira Ben Amara","Dec 31, 2019"
GSE104024,"Transcriptional signature of human pro-inflammatory TH17 cells","Other","Homo sapiens",30,,,,29150604,,"Dan Hu","Sep 29, 2017"
GSE104023,"Transcriptional signature of human pro-inflammatory TH17 cells [TH17 clones]","Other","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104023/suppl",29150604,,"Dan Hu","Sep 29, 2017"
GSE104021,"Transcriptional signature of human pro-inflammatory TH17 cells [ex vivo TH17 cells]","Other","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104021/suppl",29150604,,"Dan Hu","Sep 29, 2017"
GSE156516,"Transcriptional signature of hypoxic preconditioning in a mouse model of ischemic acute kidney injury","Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156516/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA658148",,SRP278128,"Pinelopi Kapitsinou","Jul 19, 2021"
GSE87080,"Transcriptional signature of lymphoblastoid cell lines of BRCA1, BRCA2 and non-BRCA1/2 high risk breast cancer families","Expression profiling by high throughput sequencing","Homo sapiens",121,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87080/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA343467",29108258,SRP090124,"Francine Durocher","Sep 30, 2019"
GSE139014,"Transcriptional signature of murine nasal ChAT-eGFP+ cells identified by RNASeq","Expression profiling by high throughput sequencing","Mus musculus",19,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139014/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA578099",31953256,SRP226042,"Lora Bankova","Jan 16, 2020"
GSE116525,"Transcriptional signature of murine tracheal brush cells identified by RNA-Seq","Expression profiling by high throughput sequencing","Mus musculus",18,,"TXT;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116525/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA478929",30291131,SRP151785,"Lora Bankova","Jul 03, 2018"
GSE144028,"Transcriptional signature of prion-induced neurotoxicity in a Drosophila model of transmissible mammalian prion disease","Expression profiling by high throughput sequencing","Drosophila melanogaster",36,,"TXT;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144028/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA602535",32108870,SRP243774,"Brian Yee Hong Lam","Jan 31, 2020"
GSE43601,"Transcriptional signature of progesterone-induced germinal vesicle breakdown in the fathead minnow ovary (Pimephales promelas)","Expression profiling by array","Pimephales promelas",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43601/suppl",,,"Christopher Joseph Martyniuk","Jul 19, 2013"
GSE32890,"Transcriptional signature of the developing rat testes and ovaries following embryonic exposure to 2,3,7,8-TCDD","Expression profiling by array","Rattus norvegicus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32890/suppl",,,"emmanuelle meugnier","Oct 12, 2011"
GSE6820,"Transcriptional signature of wounded keratinocytes reveals selective roles for ERK1/2, P38 and PI3K signalling pathways","Expression profiling by array","Homo sapiens",36,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6820/suppl",17363378,,"GEORGIOS FITSIALOS","Dec 30, 2007"
GSE100412,"Transcriptional signatures associated with in vivo growth of lung cancer cells","Expression profiling by high throughput sequencing","Mus musculus",24,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100412/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391687",31133614,SRP110258,"Joanna Poczobutt","May 23, 2019"
